"","cerf-id79.s1","cerf-id79.s2","cerf","cerf.s1","cerf.s2","cerf.s3","cerf(3).s1","cerf(3).s2","cerf(3).s3","cerfID79","bois de daim","daim_os_long_act7.s1","daim_os_long_act7.s2","daim_os_long_act7.s3","daim_os_long_act8.s1","daim_os_long_act8.s2","daim_os_long_act8.s3","daim","daim.s1","daim.s2","daim.s3","daim1","meagC73","meagC74","meagC75","meagC76","meagC77","meagC79","meagC80"
"Label","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Cerf","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","Daim","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus","MGcerus"
"836.43764",NA,NA,"321833",NA,"941110","948097",NA,NA,NA,NA,NA,NA,NA,"323031","247823","253354","348401","216293",NA,NA,NA,NA,"571956","688373",NA,NA,"207911","614370",NA
"840.46894","382360","545042",NA,"300626","368826","388899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"705914","689456","516265",NA,NA,NA,NA,NA,NA,NA
"868.42756",NA,"811520",NA,NA,NA,NA,NA,NA,NA,NA,NA,"251844","329777",NA,NA,"357945",NA,NA,"430263","534231","531687","430263",NA,NA,"277730",NA,NA,NA,NA
"868.46377",NA,NA,NA,"921173","844739",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"919137",NA,NA,"455868","375781","394480","341248",NA,NA,NA
"892.49996",NA,NA,"374656",NA,NA,NA,"475299",NA,"494104",NA,"272871",NA,NA,"216207",NA,NA,NA,NA,NA,NA,NA,NA,NA,"375760","456862","327741",NA,"262470","703040"
"898.47463",NA,NA,NA,NA,NA,NA,"1032622","753848",NA,NA,"505611","647506",NA,"528399","552318","419545","449160",NA,NA,NA,NA,NA,NA,"600464",NA,NA,"283687",NA,NA
"898.51111","1434132","2055655","826469","2235119","2103078","1975960",NA,NA,"634230","279250",NA,"479282","585578",NA,"550577","526719","539131","735761",NA,"2096956","1601762",NA,"370135","318973","290346",NA,NA,"260897",NA
"899.49434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"342262","477497","314201","528935",NA,NA,"1711013"
"1010.50159",NA,NA,NA,NA,NA,NA,"339069","421435","347320","203590",NA,NA,NA,"224956","418318","297310",NA,NA,NA,NA,NA,NA,NA,NA,"409068","355271","202738","252950",NA
"1024.51673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"222851","178940",NA,"263262",NA,NA,NA,NA,NA,NA,"241707","224621","196999","186219",NA,NA,NA
"1088.59631",NA,NA,NA,NA,NA,NA,"355906",NA,"271008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334357","308314","356857","259100",NA,NA,NA
"1095.56607","5686493","6854293","872883","5626237","4995562","5560073",NA,NA,NA,"235790",NA,"243548","231702",NA,"326996","396211","294229","719673","5757449","6204333","5457547","5757449","1273926","1541847","779665","796307","243454","1084865",NA
"1096.53846",NA,NA,NA,"287431",NA,"250830",NA,"656064","660955","314704",NA,NA,"810795","572356","1005675","1280109","1002602",NA,NA,"201347",NA,NA,NA,"859286",NA,"536565","457066","503875","279022"
"1105.57526","16903330","19516662","6156549","2463898","2592015","2385210","4690927","4295647","3528421","2045773","1895602","1742302","1864295","1724266","3131928","3495502","2833964","3848539","14297622","14879984","13399217","14297622","5236776","4077210","3780683","4036497","2187979","6455555","11772490"
"1105.62269",NA,NA,NA,NA,NA,NA,"886622","737120","814945",NA,"310893","465398","436273","286329",NA,NA,NA,NA,NA,NA,NA,NA,"1007275","809026","1091235","860220",NA,NA,NA
"1106.55885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2829916","2297504","2075544","3041523","1424028","3960827","11011011"
"1116.49184","487724","600537",NA,NA,"971957","821459",NA,NA,NA,NA,NA,NA,"140587",NA,NA,NA,NA,NA,NA,"624751","458727",NA,"273680",NA,"218712","221512",NA,"305848",NA
"1121.57055","316554",NA,"202155","400211","295215","356466",NA,NA,"190725",NA,NA,NA,"191597",NA,NA,"189942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"323153"
"1121.61756",NA,NA,"281455",NA,NA,NA,"413585","434338","318388","193641",NA,"237299",NA,NA,"306349","379372","306276",NA,NA,NA,NA,NA,"487592","488867","542215","659892","286366","493292",NA
"1136.60617",NA,NA,"330189",NA,NA,NA,"355388",NA,"383174",NA,NA,NA,NA,NA,NA,"196235",NA,NA,NA,NA,NA,NA,"345874",NA,"356380","502155",NA,"211752",NA
"1153.56019",NA,"200691",NA,NA,"219692",NA,"827947","690347","576727","298605","310538","418615",NA,NA,"748882","761319",NA,NA,NA,"182888",NA,"136205","697113","615877","749597","458790","186233","408195",NA
"1162.62192","491199",NA,NA,"537863","461437","525470","767143","657867","574081","432768","566259","481814","496670","401555","525606","663723","584678",NA,"1246630","1215161","1258859","1246630","873799","942756","883748","755012","421747","772434","707365"
"1163.59199","491291","697426","1425077","1026560","756233",NA,"1058383","868182","852120",NA,"823187","1032620","1079683","783028","1029076","1219398","956165",NA,"624226",NA,"551153","624226","1392948","1121987","1179216","944830","528862","1423749",NA
"1164.60056",NA,NA,"333863",NA,NA,NA,"434498",NA,"377009","217362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"531335","500300","416092","415239","281457",NA,NA
"1165.52345",NA,NA,"399160",NA,NA,NA,NA,"372999","411514",NA,NA,NA,NA,NA,NA,NA,"424340",NA,NA,NA,NA,NA,"397634","498927","338084","416470",NA,NA,NA
"1167.53887",NA,NA,"275518",NA,NA,NA,"235671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"414855","273097","466158","363770",NA,NA,NA
"1167.57568",NA,NA,"395774",NA,NA,NA,"1266487","1003898","1050782","302351","539977",NA,"1295297",NA,NA,"1300181","1119745",NA,NA,NA,NA,NA,"609910","817506","982345","803891",NA,"317666",NA
"1177.56778","3066749","3409021",NA,"2397828","2527147","2120404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"702117","1988517","1889055","1711697","1988517",NA,NA,NA,NA,NA,NA,"1434812"
"1180.64357","2483340","3498164",NA,NA,NA,NA,NA,NA,NA,"271141",NA,"445556","465591","337757",NA,"440115","279750","587629","7603426","8955790","7823269","7603426",NA,"664970","538821","427189",NA,NA,"1495397"
"1182.61177","439410","490899","544026","1215501","1144589","1127698","384934","246670","258483",NA,"682479","434350","380264","409995",NA,"428050","258928","1196935","470640",NA,"415134","470640","823095","670204",NA,"941080","339480","933199","5359675"
"1183.57061",NA,NA,"696437",NA,NA,NA,"1581842","1434387","1447407","416941",NA,"750554","904525","588590","558047","500927",NA,NA,NA,NA,NA,NA,"944160","1293149","1466630",NA,"592664",NA,NA
"1192.68069",NA,NA,"917147","2771717","2633139","2747263",NA,NA,"347581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193.62741",NA,NA,NA,NA,NA,NA,"246813","184420",NA,"154210","190549","258093","308673",NA,"290805","267668","231111",NA,NA,NA,NA,NA,"249160",NA,"443379","286417",NA,"233457",NA
"1196.56596",NA,NA,"335771",NA,NA,NA,"253786","270136","252294","298757",NA,NA,"344292",NA,NA,"455676","417548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1196.63912","7511609","8490966",NA,NA,NA,NA,NA,NA,NA,"708659","255537","376029","498155","278074","944731","930539",NA,"600465","6351260","6849587","5589631","6351260","879448",NA,NA,NA,NA,NA,"998801"
"1201.58556","1770255","2050901",NA,"2094084","2199902","1796914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"399219","1028821","1255607",NA,"1028821",NA,NA,NA,NA,NA,NA,"1697082"
"1203.62298",NA,NA,NA,NA,NA,NA,"365822","281242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"388727","361364","378911",NA,NA,"281279",NA
"1207.60625",NA,NA,"183162",NA,NA,"131249",NA,"238822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"439820","385739","384683",NA,"210821",NA,"361147"
"1208.6753",NA,NA,"3108404","15549058","14348549","14460241","2030453","1797333","1505570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1216.67976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"409876","343807",NA,"169259",NA,NA,NA,NA,NA,NA,"344135",NA,"483049","261676",NA,"299020",NA
"1220.64929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"275171","218927","215478","259227",NA,"143174",NA
"1223.60743","419169",NA,"278857","318023",NA,NA,NA,"264951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"835627","776529",NA,"353894",NA,NA,NA,"196177","125559","321846"
"1226.57685",NA,NA,"441423",NA,NA,NA,NA,NA,"280093","352870","182368",NA,"241043",NA,"487624","414840","394738",NA,NA,NA,"220509",NA,NA,NA,NA,NA,NA,NA,NA
"1240.67685","7447351","8483050",NA,"2346368","2117160","2206953",NA,NA,NA,"362785",NA,NA,NA,NA,NA,NA,NA,NA,NA,"629580",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1241.65997",NA,NA,NA,"2038941","1732789","1787463","1135364","1096267","945397",NA,NA,NA,NA,NA,"195813","253970",NA,NA,NA,NA,NA,NA,"2995078","2590318","2361357","3386082","1323734","3616040","3268702"
"1250.57573",NA,NA,NA,NA,NA,NA,NA,"185066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"215676","234458","150117",NA,NA,"433018"
"1254.53548",NA,"176342","234892","202394","215389",NA,NA,NA,NA,NA,"169385",NA,NA,NA,NA,NA,NA,NA,"214458","156496","207172","214458","484549","307419","244481","337330",NA,"515764",NA
"1261.6292",NA,NA,"397286","547542","459536","586198","424226","322027",NA,NA,"349795",NA,NA,NA,NA,"300707",NA,"710303",NA,"447835","407406",NA,NA,NA,NA,NA,NA,NA,"1394179"
"1264.62813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"179936",NA,NA,NA,NA,NA,"166544",NA,NA,NA,NA,NA,NA,"498425","604918","623197","340537","571432","454484"
"1267.67561","4025131","4917049","858128","5982674","5474665","5449937","865189","611059","563005","177155",NA,"366196","404719","493787","598408","668120","435072","965920","3719027","3974567","3378661","3719027","1709406","1355298","1275917","1521074","686157","2124321","7065733"
"1273.70169",NA,"208046","295313",NA,NA,NA,"335916",NA,"301627",NA,"275171","498959","569901","289446","377446","398829","308122",NA,"197934",NA,NA,"197934",NA,"382731","458014","288071",NA,"406704","237639"
"1280.6228",NA,"187856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"484478","666288","614290",NA,NA,"484721"
"1281.61983",NA,NA,"776609","3256361","2720537","2772867","476955","485645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1296.58108",NA,NA,NA,NA,NA,"153330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"227823","149984",NA,NA,NA,"310604","262723"
"1311.62982",NA,"1090849",NA,NA,NA,NA,NA,NA,NA,NA,"293046","189660",NA,NA,NA,NA,NA,"1661919","718026",NA,"630245","718026",NA,NA,NA,NA,NA,NA,"3130625"
"1323.66527",NA,NA,NA,NA,NA,NA,NA,"494346","496419",NA,NA,"318271",NA,"368087",NA,"261922",NA,NA,NA,NA,NA,NA,"368625","316933",NA,NA,"260292","308660",NA
"1332.65578","2862539","3488710",NA,"3388669","3311068","3470948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"558354","1772520",NA,NA,"1772520",NA,NA,NA,NA,NA,NA,NA
"1343.67105",NA,NA,NA,"442697","373520",NA,"467418","467515","409386","298264","531070",NA,"594046","495130",NA,"790038",NA,NA,NA,NA,NA,NA,"749869","795469",NA,NA,"212111",NA,"522979"
"1346.71807",NA,NA,"212352",NA,NA,NA,"215733",NA,NA,NA,"343975",NA,NA,"472115","413272",NA,"243567",NA,NA,NA,NA,NA,"383803","471383",NA,"357655","191499",NA,NA
"1374.74924",NA,NA,NA,"202032",NA,NA,NA,"196156","151892",NA,NA,NA,"277817",NA,NA,"227522",NA,NA,NA,"225659",NA,"164245",NA,"217914","364475","176979",NA,"287500","556663"
"1392.68666",NA,NA,"355320",NA,"229108",NA,"250337","302074","197894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"290206",NA,NA,NA,"448893",NA
"1409.71697",NA,NA,NA,NA,"233675",NA,"234598","187775","257817",NA,NA,NA,"149492",NA,NA,NA,NA,NA,NA,NA,NA,"150156",NA,"456552","261895","464920","227175","319306","1437286"
"1416.6866",NA,NA,"441938","207004",NA,"148382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"876444","736340","794670","1025299","464043",NA,NA
"1417.72921",NA,"358799","590955","415455","405196","425818",NA,"528696","450481",NA,NA,NA,NA,NA,NA,NA,"442147",NA,NA,NA,NA,NA,"816718","491420","414625",NA,"269738","1247166","539294"
"1420.68186",NA,NA,"409224",NA,NA,NA,NA,"500250",NA,NA,"205868","307990",NA,NA,"563947","566008","574234",NA,NA,NA,NA,"173639","649096","537224","602046","394464","301549","541106",NA
"1427.72841","22808668","25439986","10787486","46202976","42987496","43214820","9559089","8221628","6882331","2959150","3812376","3788403","4184350","3463368","6400440","6790685","5323906","5019482","20846392","21282258","19198232","20846392","19099444","13764464","10681552","15886003","8194553","27789396","82669792"
"1432.68123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"982766","667834","866750","892075","348898","1006405",NA
"1435.68241","18153018","19193988","4532038","29355542","25276428","25389728","3433351","3188713","2359237",NA,NA,NA,NA,NA,NA,"2570419","1774443","3723425","19318550","20582072","16383076","19318550","6184382","4088781","3496009","4345614","2071915","9801706","31004450"
"1439.72371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"290429","263764","241433",NA,"120896","724473",NA
"1443.72332",NA,NA,NA,"1454954","1363998","1332680","343447",NA,"272114",NA,NA,NA,NA,NA,NA,NA,NA,NA,"464473","498327",NA,"464473","297788","270276",NA,"243499",NA,"566960","1849968"
"1443.7949",NA,NA,NA,NA,NA,NA,"280708",NA,NA,NA,NA,NA,"179297",NA,NA,NA,NA,NA,NA,NA,NA,NA,"411859",NA,"242124","323890","131699","152595",NA
"1447.75446",NA,NA,NA,NA,NA,"207444","215918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"573529","436351","411516","432306",NA,NA,"436384","347263"
"1459.69371","19338282","21314464","3126752","23861560","22301490","22092858","2299882","2176812","1587622","762554","673589","717606",NA,NA,NA,NA,"1691731","3008883","16103260","17902276","15095864","16103260","4524678","2705310","2484408","2931009","1637723","7035066","24200068"
"1473.67325","5203396",NA,NA,"8987114","8349453","8069585","1250945","1162253","793376","264711","355430","366363","470124",NA,NA,"1068919","767440","1442347","5748695","5978028","5167540","5748695","2029102","1271531","1127625","1160007","621604",NA,"7900443"
"1483.71366",NA,NA,"215977",NA,NA,NA,"485250","476144",NA,NA,NA,NA,NA,NA,"189472",NA,NA,NA,NA,NA,NA,NA,NA,"328786","529758","418108",NA,"452366",NA
"1496.75334",NA,"182135","408932",NA,"503761","650772","502092",NA,"306508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135765",NA,NA,NA,NA,NA,NA,NA
"1532.78329","1669429",NA,"908014","3366031","2990577","3012158",NA,NA,NA,NA,"547156","447462",NA,NA,NA,NA,NA,"1038621","6162974","7329315","6076541","6162974","853665","621884","538566","428506","184019","908787","2894261"
"1550.75707","3911893","4844321",NA,NA,NA,NA,NA,NA,NA,"316940","507458",NA,"453517",NA,"699360",NA,NA,"1807731","4365234","5310616","4336813","4365234","2088498","1446057","1290823",NA,"567385","2958455","11063493"
"1561.79828","7059223","8346592","6065720","19588010","17027986","18138338","7106985",NA,"5107263",NA,NA,NA,"1827256","1293713","3381339","3708256","2846118",NA,NA,"3509752",NA,"3047041","3738774",NA,"1792724","1613550","1151579","4550265","8081910"
"1562.78258","3744273","4835375","6165197","12285004","11038967","11746608","3453137","3283280","2580206","663497",NA,NA,NA,"657898","1578150","1789898",NA,"1288829","4258353","5006959","4049869","4258353","4836292","2595989","2525501","3089452","1621182","5834060","18704004"
"1562.83005","4237752","5374407","1931566","7988425","7221370","7446457","1799724","1594318","1311076","569376",NA,NA,NA,NA,"694712",NA,NA,"1023183","3429770","3773739","3547786","3429770","2191297","1810667",NA,NA,"1097277","4113380","9658367"
"1580.76899",NA,NA,"1668987","6818075","6009916","6107360","1190456","1086425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1585.77304","5424721","7197123",NA,"6095673","5826097","5395164","1522727","1412278",NA,NA,NA,NA,NA,NA,"991212","1030726","702011","961940","2059787","2390121","1992839","2059787","675914",NA,NA,NA,NA,NA,NA
"1586.75691","8534804","10309014","3064891","13675700","13162397","12693349","2545915","2392135",NA,NA,"514755",NA,"755180","423997","1427159","1264621",NA,"1696239","7548405","8880888","6789745","7548405","5069516","3773016",NA,"4647680","1750869","7404751","25945392"
"1589.7774",NA,NA,NA,NA,NA,NA,"458436",NA,"379429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"446511","597441","276026","1108680",NA
"1600.80749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"231556","255154",NA,NA,NA,"313913","1512999"
"1604.81437","221174","349314","441501","380660",NA,NA,"619712",NA,NA,"327249","284757","471766","662000","439505","687582","640004",NA,NA,NA,NA,"272095",NA,NA,NA,NA,NA,NA,NA,NA
"1608.73872",NA,NA,NA,NA,NA,NA,"290916",NA,"233021",NA,NA,NA,NA,NA,NA,"308099",NA,NA,NA,NA,NA,NA,"318537",NA,"370507",NA,"189682",NA,"270243"
"1615.82095","3589126","5190339","3547696","8803171","8192957","8292936",NA,"1260389",NA,NA,"1163141","791321",NA,"651106","1405879",NA,"1114719","1027213","3508107","4119898","3747121","3508107",NA,"1642824",NA,NA,NA,"2838956","3266392"
"1616.80374",NA,NA,"436147",NA,NA,NA,"615890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2716289","2335503","1978722","3218525","1408600","4478916","10533828"
"1644.72209","511623","782212",NA,"1364832","1284119","1144243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"249472",NA,NA,"249472",NA,NA,NA,NA,NA,NA,NA
"1648.77948","1160470","1346240","1293857","3676817","3447794","3459950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3430279","3725899","3653645","3430279",NA,"260140",NA,NA,NA,NA,NA
"1648.82924","2708122","3151707","1407036","3380229","3248741","3048469","706862","615397","518314","388234","1119014",NA,NA,"569243","1216323","1161640","944489","1871984","8102642","9041196","7931601","8102642","1965429","1430296","1279312","1336250","702640","2375303","6653530"
"1655.80115","5266983","6368290","864225","4441481","4027906",NA,NA,NA,"669579","487908","551457",NA,NA,NA,NA,"369450",NA,NA,"2008465",NA,"1874904","2008465",NA,"1509337","757755",NA,"282351","1476405","3251871"
"1678.86193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"278379",NA,"149346","180305",NA,"346158","478887"
"1683.80952","473974","858784",NA,NA,"392388","386147",NA,NA,NA,NA,"227065",NA,NA,NA,NA,"405787",NA,NA,NA,"1062709","1113069",NA,"524916","403234","504273","580464","276982",NA,NA
"1688.88235","233975",NA,NA,NA,NA,NA,NA,NA,"179245",NA,NA,"521399","588363",NA,"478428","333693","362951",NA,NA,"232084",NA,NA,NA,"577768","636121","472172","234950","482770",NA
"1690.7793","624662","808180",NA,"1402180","1234641","1239135",NA,NA,NA,NA,"353344",NA,NA,NA,NA,NA,"319374","684986","1166685","1274044","1107852","1166685",NA,NA,NA,NA,NA,NA,"1830907"
